tower_id,city,latitude,longitude,operator,source
TWR-0001,Mumbai,19.05215,72.87689,Provider-B,synthetic_cell_tower
TWR-0002,Mumbai,19.064,72.8704,Provider-B,synthetic_cell_tower
TWR-0003,Mumbai,19.04967,72.84264,Provider-A,synthetic_cell_tower
TWR-0004,Mumbai,19.04064,72.87087,Provider-B,synthetic_cell_tower
TWR-0005,Delhi,28.62455,77.22478,Provider-A,synthetic_cell_tower
TWR-0006,Delhi,28.59881,77.18362,Provider-A,synthetic_cell_tower
TWR-0007,Delhi,28.63154,77.2265,Provider-A,synthetic_cell_tower
TWR-0008,Delhi,28.62833,77.21783,Provider-A,synthetic_cell_tower
TWR-0009,Chennai,13.07195,80.25754,Provider-B,synthetic_cell_tower
TWR-0010,Chennai,13.10126,80.28165,Provider-B,synthetic_cell_tower
TWR-0011,Chennai,13.11089,80.24326,Provider-C,synthetic_cell_tower
TWR-0012,Chennai,13.07117,80.30858,Provider-B,synthetic_cell_tower
TWR-0013,Bengaluru,12.97699,77.56984,Provider-B,synthetic_cell_tower
TWR-0014,Bengaluru,13.00882,77.56843,Provider-A,synthetic_cell_tower
TWR-0015,Bengaluru,12.9731,77.60158,Provider-B,synthetic_cell_tower
TWR-0016,Bengaluru,12.9441,77.60977,Provider-A,synthetic_cell_tower
TWR-0017,Kolkata,22.56122,88.37781,Provider-A,synthetic_cell_tower
TWR-0018,Kolkata,22.5985,88.32945,Provider-C,synthetic_cell_tower
TWR-0019,Kolkata,22.60667,88.34476,Provider-B,synthetic_cell_tower
TWR-0020,Kolkata,22.56516,88.33473,Provider-A,synthetic_cell_tower
TWR-0021,Hyderabad,17.41426,78.47704,Provider-C,synthetic_cell_tower
TWR-0022,Hyderabad,17.41964,78.499,Provider-A,synthetic_cell_tower
TWR-0023,Hyderabad,17.38042,78.45584,Provider-B,synthetic_cell_tower
TWR-0024,Hyderabad,17.38236,78.46983,Provider-B,synthetic_cell_tower
TWR-0025,Pune,18.52565,73.84933,Provider-A,synthetic_cell_tower
TWR-0026,Pune,18.54098,73.83343,Provider-C,synthetic_cell_tower
TWR-0027,Pune,18.51288,73.85277,Provider-C,synthetic_cell_tower
TWR-0028,Pune,18.50172,73.82689,Provider-C,synthetic_cell_tower
TWR-0029,Ahmedabad,23.01161,72.57307,Provider-C,synthetic_cell_tower
TWR-0030,Ahmedabad,22.98942,72.57957,Provider-B,synthetic_cell_tower
TWR-0031,Ahmedabad,23.01297,72.5712,Provider-A,synthetic_cell_tower
TWR-0032,Ahmedabad,23.00982,72.55158,Provider-C,synthetic_cell_tower
