section_id,section_code,law_name,source
SEC-0001,02,IPC / Other Act (source-derived code),FIR_details.json
SEC-0002,06,IPC / Other Act (source-derived code),FIR_details.json
SEC-0003,1,IPC / Other Act (source-derived code),FIR_details.json
SEC-0004,114,IPC / Other Act (source-derived code),FIR_details.json
SEC-0005,116,IPC / Other Act (source-derived code),FIR_details.json
SEC-0006,12,IPC / Other Act (source-derived code),FIR_details.json
SEC-0007,120,IPC / Other Act (source-derived code),FIR_details.json
SEC-0008,120B,IPC / Other Act (source-derived code),FIR_details.json
SEC-0009,135,IPC / Other Act (source-derived code),FIR_details.json
SEC-0010,14,IPC / Other Act (source-derived code),FIR_details.json
SEC-0011,143,IPC / Other Act (source-derived code),FIR_details.json
SEC-0012,145,IPC / Other Act (source-derived code),FIR_details.json
SEC-0013,147,IPC / Other Act (source-derived code),FIR_details.json
SEC-0014,148,IPC / Other Act (source-derived code),FIR_details.json
SEC-0015,149,IPC / Other Act (source-derived code),FIR_details.json
SEC-0016,166,IPC / Other Act (source-derived code),FIR_details.json
SEC-0017,18,IPC / Other Act (source-derived code),FIR_details.json
SEC-0018,186,IPC / Other Act (source-derived code),FIR_details.json
SEC-0019,1860,IPC / Other Act (source-derived code),FIR_details.json
SEC-0020,188,IPC / Other Act (source-derived code),FIR_details.json
SEC-0021,193,IPC / Other Act (source-derived code),FIR_details.json
SEC-0022,1955,IPC / Other Act (source-derived code),FIR_details.json
SEC-0023,195A,IPC / Other Act (source-derived code),FIR_details.json
SEC-0024,1972,IPC / Other Act (source-derived code),FIR_details.json
SEC-0025,1985,IPC / Other Act (source-derived code),FIR_details.json
SEC-0026,2,IPC / Other Act (source-derived code),FIR_details.json
SEC-0027,20,IPC / Other Act (source-derived code),FIR_details.json
SEC-0028,2001,IPC / Other Act (source-derived code),FIR_details.json
SEC-0029,2003,IPC / Other Act (source-derived code),FIR_details.json
SEC-0030,2005,IPC / Other Act (source-derived code),FIR_details.json
SEC-0031,2007,IPC / Other Act (source-derived code),FIR_details.json
SEC-0032,201,IPC / Other Act (source-derived code),FIR_details.json
SEC-0033,209,IPC / Other Act (source-derived code),FIR_details.json
SEC-0034,21,IPC / Other Act (source-derived code),FIR_details.json
SEC-0035,24,IPC / Other Act (source-derived code),FIR_details.json
SEC-0036,25,IPC / Other Act (source-derived code),FIR_details.json
SEC-0037,269,IPC / Other Act (source-derived code),FIR_details.json
SEC-0038,27,IPC / Other Act (source-derived code),FIR_details.json
SEC-0039,270,IPC / Other Act (source-derived code),FIR_details.json
SEC-0040,271,IPC / Other Act (source-derived code),FIR_details.json
SEC-0041,279,IPC / Other Act (source-derived code),FIR_details.json
SEC-0042,283,IPC / Other Act (source-derived code),FIR_details.json
SEC-0043,285,IPC / Other Act (source-derived code),FIR_details.json
SEC-0044,286,IPC / Other Act (source-derived code),FIR_details.json
SEC-0045,29,IPC / Other Act (source-derived code),FIR_details.json
SEC-0046,290,IPC / Other Act (source-derived code),FIR_details.json
SEC-0047,3,IPC / Other Act (source-derived code),FIR_details.json
SEC-0048,302,IPC / Other Act (source-derived code),FIR_details.json
SEC-0049,304,IPC / Other Act (source-derived code),FIR_details.json
SEC-0050,304A,IPC / Other Act (source-derived code),FIR_details.json
SEC-0051,306,IPC / Other Act (source-derived code),FIR_details.json
SEC-0052,307,IPC / Other Act (source-derived code),FIR_details.json
SEC-0053,308,IPC / Other Act (source-derived code),FIR_details.json
SEC-0054,313,IPC / Other Act (source-derived code),FIR_details.json
SEC-0055,319,IPC / Other Act (source-derived code),FIR_details.json
SEC-0056,322,IPC / Other Act (source-derived code),FIR_details.json
SEC-0057,323,IPC / Other Act (source-derived code),FIR_details.json
SEC-0058,324,IPC / Other Act (source-derived code),FIR_details.json
SEC-0059,325,IPC / Other Act (source-derived code),FIR_details.json
SEC-0060,326,IPC / Other Act (source-derived code),FIR_details.json
SEC-0061,327,IPC / Other Act (source-derived code),FIR_details.json
SEC-0062,328,IPC / Other Act (source-derived code),FIR_details.json
SEC-0063,332,IPC / Other Act (source-derived code),FIR_details.json
SEC-0064,333,IPC / Other Act (source-derived code),FIR_details.json
SEC-0065,337,IPC / Other Act (source-derived code),FIR_details.json
SEC-0066,338,IPC / Other Act (source-derived code),FIR_details.json
SEC-0067,34,IPC / Other Act (source-derived code),FIR_details.json
SEC-0068,341,IPC / Other Act (source-derived code),FIR_details.json
SEC-0069,342,IPC / Other Act (source-derived code),FIR_details.json
SEC-0070,352,IPC / Other Act (source-derived code),FIR_details.json
SEC-0071,353,IPC / Other Act (source-derived code),FIR_details.json
SEC-0072,354,IPC / Other Act (source-derived code),FIR_details.json
SEC-0073,354A,IPC / Other Act (source-derived code),FIR_details.json
SEC-0074,354B,IPC / Other Act (source-derived code),FIR_details.json
SEC-0075,354C,IPC / Other Act (source-derived code),FIR_details.json
SEC-0076,354D,IPC / Other Act (source-derived code),FIR_details.json
SEC-0077,363,IPC / Other Act (source-derived code),FIR_details.json
SEC-0078,364,IPC / Other Act (source-derived code),FIR_details.json
SEC-0079,364A,IPC / Other Act (source-derived code),FIR_details.json
SEC-0080,365,IPC / Other Act (source-derived code),FIR_details.json
SEC-0081,366,IPC / Other Act (source-derived code),FIR_details.json
