source_id,relationship,target_id,source,confidence
P001,USES,PH579303,persons_synthetic,1.0
P001,INVOLVED_IN,CASE-1001,persons_synthetic,1.0
P002,USES,PH540831,persons_synthetic,1.0
P002,INVOLVED_IN,CASE-1002,persons_synthetic,1.0
P003,USES,PH855092,persons_synthetic,1.0
P003,INVOLVED_IN,CASE-1003,persons_synthetic,1.0
P004,USES,PH233790,persons_synthetic,1.0
P004,INVOLVED_IN,CASE-1004,persons_synthetic,1.0
P005,USES,PH310485,persons_synthetic,1.0
P005,INVOLVED_IN,CASE-1005,persons_synthetic,1.0
P006,USES,PH950628,persons_synthetic,1.0
P006,INVOLVED_IN,CASE-1006,persons_synthetic,1.0
P007,USES,PH670711,persons_synthetic,1.0
P007,INVOLVED_IN,CASE-1007,persons_synthetic,1.0
P008,USES,PH827706,persons_synthetic,1.0
P008,INVOLVED_IN,CASE-1008,persons_synthetic,1.0
P009,USES,PH779946,persons_synthetic,1.0
P009,INVOLVED_IN,CASE-1009,persons_synthetic,1.0
P010,USES,PH053353,persons_synthetic,1.0
P010,INVOLVED_IN,CASE-1010,persons_synthetic,1.0
P011,USES,PH600539,persons_synthetic,1.0
P011,INVOLVED_IN,CASE-1011,persons_synthetic,1.0
P012,USES,PH285932,persons_synthetic,1.0
P012,INVOLVED_IN,CASE-1012,persons_synthetic,1.0
P013,USES,PH582861,persons_synthetic,1.0
P013,INVOLVED_IN,CASE-1013,persons_synthetic,1.0
P014,USES,PH349856,persons_synthetic,1.0
P014,INVOLVED_IN,CASE-1014,persons_synthetic,1.0
P015,USES,PH036506,persons_synthetic,1.0
P015,INVOLVED_IN,CASE-1015,persons_synthetic,1.0
P016,USES,PH035110,persons_synthetic,1.0
P016,INVOLVED_IN,CASE-1016,persons_synthetic,1.0
P017,USES,PH126396,persons_synthetic,1.0
P017,INVOLVED_IN,CASE-1017,persons_synthetic,1.0
P018,USES,PH994523,persons_synthetic,1.0
P018,INVOLVED_IN,CASE-1018,persons_synthetic,1.0
P019,USES,PH604502,persons_synthetic,1.0
P019,INVOLVED_IN,CASE-1019,persons_synthetic,1.0
P020,USES,PH760738,persons_synthetic,1.0
P020,INVOLVED_IN,CASE-1020,persons_synthetic,1.0
P021,USES,PH817734,persons_synthetic,1.0
P021,INVOLVED_IN,CASE-1021,persons_synthetic,1.0
P022,USES,PH621108,persons_synthetic,1.0
P022,INVOLVED_IN,CASE-1022,persons_synthetic,1.0
P023,USES,PH412689,persons_synthetic,1.0
P023,INVOLVED_IN,CASE-1023,persons_synthetic,1.0
P024,USES,PH492780,persons_synthetic,1.0
P024,INVOLVED_IN,CASE-1024,persons_synthetic,1.0
P025,USES,PH632297,persons_synthetic,1.0
P025,INVOLVED_IN,CASE-1025,persons_synthetic,1.0
P026,USES,PH500298,persons_synthetic,1.0
P026,INVOLVED_IN,CASE-1026,persons_synthetic,1.0
P027,USES,PH820204,persons_synthetic,1.0
P027,INVOLVED_IN,CASE-1027,persons_synthetic,1.0
P028,USES,PH808098,persons_synthetic,1.0
P028,INVOLVED_IN,CASE-1028,persons_synthetic,1.0
P029,USES,PH041955,persons_synthetic,1.0
P029,INVOLVED_IN,CASE-1029,persons_synthetic,1.0
P030,USES,PH126461,persons_synthetic,1.0
P030,INVOLVED_IN,CASE-1030,persons_synthetic,1.0
P031,USES,PH455977,persons_synthetic,1.0
P031,INVOLVED_IN,CASE-1031,persons_synthetic,1.0
P032,USES,PH696312,persons_synthetic,1.0
P032,INVOLVED_IN,CASE-1032,persons_synthetic,1.0
P033,USES,PH334538,persons_synthetic,1.0
P033,INVOLVED_IN,CASE-1033,persons_synthetic,1.0
P034,USES,PH719211,persons_synthetic,1.0
P034,INVOLVED_IN,CASE-1034,persons_synthetic,1.0
P035,USES,PH704996,persons_synthetic,1.0
P035,INVOLVED_IN,CASE-1035,persons_synthetic,1.0
P036,USES,PH119330,persons_synthetic,1.0
P036,INVOLVED_IN,CASE-1036,persons_synthetic,1.0
P037,USES,PH977991,persons_synthetic,1.0
P037,INVOLVED_IN,CASE-1037,persons_synthetic,1.0
P038,USES,PH763202,persons_synthetic,1.0
P038,INVOLVED_IN,CASE-1038,persons_synthetic,1.0
P039,USES,PH241839,persons_synthetic,1.0
P039,INVOLVED_IN,CASE-1039,persons_synthetic,1.0
P040,USES,PH432881,persons_synthetic,1.0
P040,INVOLVED_IN,CASE-1040,persons_synthetic,1.0
P041,USES,PH621470,persons_synthetic,1.0
P041,INVOLVED_IN,CASE-1041,persons_synthetic,1.0
P042,USES,PH778756,persons_synthetic,1.0
P042,INVOLVED_IN,CASE-1042,persons_synthetic,1.0
P043,USES,PH341213,persons_synthetic,1.0
P043,INVOLVED_IN,CASE-1043,persons_synthetic,1.0
P044,USES,PH362082,persons_synthetic,1.0
P044,INVOLVED_IN,CASE-1044,persons_synthetic,1.0
P045,USES,PH944844,persons_synthetic,1.0
P045,INVOLVED_IN,CASE-1045,persons_synthetic,1.0
P046,USES,PH191390,persons_synthetic,1.0
P046,INVOLVED_IN,CASE-1046,persons_synthetic,1.0
P047,USES,PH795579,persons_synthetic,1.0
P047,INVOLVED_IN,CASE-1047,persons_synthetic,1.0
P048,USES,PH415646,persons_synthetic,1.0
P048,INVOLVED_IN,CASE-1048,persons_synthetic,1.0
P049,USES,PH747451,persons_synthetic,1.0
P049,INVOLVED_IN,CASE-1049,persons_synthetic,1.0
P050,USES,PH585092,persons_synthetic,1.0
P050,INVOLVED_IN,CASE-1050,persons_synthetic,1.0
P051,USES,PH943839,persons_synthetic,1.0
P051,INVOLVED_IN,CASE-1051,persons_synthetic,1.0
P052,USES,PH848421,persons_synthetic,1.0
P052,INVOLVED_IN,CASE-1052,persons_synthetic,1.0
P053,USES,PH451171,persons_synthetic,1.0
P053,INVOLVED_IN,CASE-1053,persons_synthetic,1.0
P054,USES,PH319644,persons_synthetic,1.0
P054,INVOLVED_IN,CASE-1054,persons_synthetic,1.0
P055,USES,PH245888,persons_synthetic,1.0
P055,INVOLVED_IN,CASE-1055,persons_synthetic,1.0
P056,USES,PH027113,persons_synthetic,1.0
P056,INVOLVED_IN,CASE-1056,persons_synthetic,1.0
P058,USES,PH647391,persons_synthetic,1.0
P058,INVOLVED_IN,CASE-1058,persons_synthetic,1.0
P059,USES,PH654552,persons_synthetic,1.0
P059,INVOLVED_IN,CASE-1059,persons_synthetic,1.0
P061,USES,PH543540,persons_synthetic,1.0
P061,INVOLVED_IN,CASE-1061,persons_synthetic,1.0
P062,USES,PH303705,persons_synthetic,1.0
P062,INVOLVED_IN,CASE-1062,persons_synthetic,1.0
P063,USES,PH770529,persons_synthetic,1.0
P063,INVOLVED_IN,CASE-1063,persons_synthetic,1.0
P064,USES,PH031070,persons_synthetic,1.0
P064,INVOLVED_IN,CASE-1064,persons_synthetic,1.0
P065,USES,PH448196,persons_synthetic,1.0
P065,INVOLVED_IN,CASE-1065,persons_synthetic,1.0
P066,USES,PH611066,persons_synthetic,1.0
P066,INVOLVED_IN,CASE-1066,persons_synthetic,1.0
P067,USES,PH749116,persons_synthetic,1.0
P067,INVOLVED_IN,CASE-1067,persons_synthetic,1.0
P068,USES,PH797776,persons_synthetic,1.0
P068,INVOLVED_IN,CASE-1068,persons_synthetic,1.0
P069,USES,PH566476,persons_synthetic,1.0
P069,INVOLVED_IN,CASE-1069,persons_synthetic,1.0
P070,USES,PH996843,persons_synthetic,1.0
P070,INVOLVED_IN,CASE-1070,persons_synthetic,1.0
P071,USES,PH130526,persons_synthetic,1.0
P071,INVOLVED_IN,CASE-1071,persons_synthetic,1.0
P072,USES,PH302652,persons_synthetic,1.0
P072,INVOLVED_IN,CASE-1072,persons_synthetic,1.0
P073,USES,PH927151,persons_synthetic,1.0
P073,INVOLVED_IN,CASE-1073,persons_synthetic,1.0
P074,USES,PH468299,persons_synthetic,1.0
P074,INVOLVED_IN,CASE-1074,persons_synthetic,1.0
P075,USES,PH528252,persons_synthetic,1.0
P075,INVOLVED_IN,CASE-1075,persons_synthetic,1.0
P076,USES,PH684276,persons_synthetic,1.0
P076,INVOLVED_IN,CASE-1076,persons_synthetic,1.0
P077,USES,PH203558,persons_synthetic,1.0
P077,INVOLVED_IN,CASE-1077,persons_synthetic,1.0
P078,USES,PH026086,persons_synthetic,1.0
P078,INVOLVED_IN,CASE-1078,persons_synthetic,1.0
P079,USES,PH703907,persons_synthetic,1.0
P079,INVOLVED_IN,CASE-1079,persons_synthetic,1.0
P080,USES,PH075810,persons_synthetic,1.0
P080,INVOLVED_IN,CASE-1080,persons_synthetic,1.0
P081,USES,PH727955,persons_synthetic,1.0
P081,INVOLVED_IN,CASE-1081,persons_synthetic,1.0
P082,USES,PH675980,persons_synthetic,1.0
P082,INVOLVED_IN,CASE-1082,persons_synthetic,1.0
P083,USES,PH957310,persons_synthetic,1.0
P083,INVOLVED_IN,CASE-1083,persons_synthetic,1.0
P084,USES,PH449460,persons_synthetic,1.0
P084,INVOLVED_IN,CASE-1084,persons_synthetic,1.0
P085,USES,PH157429,persons_synthetic,1.0
P085,INVOLVED_IN,CASE-1085,persons_synthetic,1.0
P086,USES,PH471886,persons_synthetic,1.0
P086,INVOLVED_IN,CASE-1086,persons_synthetic,1.0
P087,USES,PH845604,persons_synthetic,1.0
P087,INVOLVED_IN,CASE-1087,persons_synthetic,1.0
P088,USES,PH560971,persons_synthetic,1.0
P088,INVOLVED_IN,CASE-1088,persons_synthetic,1.0
P089,USES,PH619255,persons_synthetic,1.0
