location_id,person_id,actor_id,phase,location,latitude,longitude,source
LOC-0001,P001,1,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0002,P001,1,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0003,P001,1,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0004,P002,2,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0005,P002,2,Phase-2,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0006,P002,2,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0007,P003,3,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0008,P003,3,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0009,P003,3,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0010,P004,4,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0011,P004,4,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0012,P004,4,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0013,P005,5,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0014,P005,5,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0015,P005,5,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0016,P006,6,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0017,P006,6,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0018,P006,6,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0019,P007,7,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0020,P007,7,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0021,P007,7,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0022,P008,8,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0023,P008,8,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0024,P008,8,Phase-3,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0025,P009,9,Phase-1,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0026,P009,9,Phase-2,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0027,P009,9,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0028,P010,10,Phase-1,Delhi,28.6139,77.209,locations_synthetic
LOC-0029,P010,10,Phase-2,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0030,P010,10,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0031,P011,11,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0032,P011,11,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0033,P011,11,Phase-3,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0034,P012,12,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0035,P012,12,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0036,P012,12,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0037,P013,13,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0038,P013,13,Phase-2,Pune,18.5204,73.8567,locations_synthetic
LOC-0039,P013,13,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0040,P014,14,Phase-1,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0041,P014,14,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0042,P014,14,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0043,P015,15,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0044,P015,15,Phase-2,Delhi,28.6139,77.209,locations_synthetic
LOC-0045,P015,15,Phase-3,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0046,P016,16,Phase-1,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0047,P016,16,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0048,P016,16,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0049,P017,17,Phase-1,Mumbai,19.076,72.8777,locations_synthetic
LOC-0050,P017,17,Phase-2,Ahmedabad,23.0225,72.5714,locations_synthetic
LOC-0051,P017,17,Phase-3,Chennai,13.0827,80.2707,locations_synthetic
LOC-0052,P018,18,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0053,P018,18,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0054,P018,18,Phase-3,Lucknow,26.8467,80.9462,locations_synthetic
LOC-0055,P019,19,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0056,P019,19,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0057,P019,19,Phase-3,Delhi,28.6139,77.209,locations_synthetic
LOC-0058,P020,20,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0059,P020,20,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0060,P020,20,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0061,P021,21,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0062,P021,21,Phase-2,Mumbai,19.076,72.8777,locations_synthetic
LOC-0063,P021,21,Phase-3,Pune,18.5204,73.8567,locations_synthetic
LOC-0064,P022,22,Phase-1,Chennai,13.0827,80.2707,locations_synthetic
LOC-0065,P022,22,Phase-2,Jaipur,26.9124,75.7873,locations_synthetic
LOC-0066,P022,22,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0067,P023,23,Phase-1,Hyderabad,17.385,78.4867,locations_synthetic
LOC-0068,P023,23,Phase-2,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0069,P023,23,Phase-3,Kolkata,22.5726,88.3639,locations_synthetic
LOC-0070,P024,24,Phase-1,Bengaluru,12.9716,77.5946,locations_synthetic
LOC-0071,P024,24,Phase-2,Chennai,13.0827,80.2707,locations_synthetic
LOC-0072,P024,24,Phase-3,Mumbai,19.076,72.8777,locations_synthetic
LOC-0073,P025,25,Phase-1,Lucknow,26.8467,80.9462,locations_synthetic
