document_id,document_type,text,source,entity_id,vector_status
FIR-Airport-PSAIRPORT-0004-2017-2711-1-jpg,FIR,399/402 Ipc And 25(I)(A)/27 Arms Act | Si Sahabuddin Mondal,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0004-2018-3503-1-jpg,FIR,Airport | 2018 | 420/406/120B Ipc | Monodip Das Gupta,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0005-2017-3336-1-jpg,FIR,323/380/506/120B Ipc | Sri Indranil Roy,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0005-2018-1983-1-jpg,FIR,Airport | 2018 | Rubina Laskar,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0006-2017-3301-1-jpg,FIR,498A/448/326 Ipc,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0006-2018-1899-1-jpg,FIR,Airport | 2018 | 323/307/497/498A/406/506/34 And 3/4 Dp Act | Nasima Khatun,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0007-2017-3336-1-jpg,FIR,Airport | 341/354/354B Ipc | Susmita Ghosh,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0007-2018-1932-1-jpg,FIR,Airport | 2018 | Dipankar Sardar,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0008-2017-3243-1-jpg,FIR,Airport | 279/304A/427 Ipc | Bivash Kumar Jha,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0008-2018-2110-1-jpg,FIR,Shibashis Das,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0009-2017-3638-1-jpg,FIR,Airport | 2017 | Minoti Biswas,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0009-2018-3628-1-jpg,FIR,Airport | 2018 | 420/406/120B Ipc | Chiranjib Bhattacharjee,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0010-2017-3678-1-jpg,FIR,Airport | 399/402 Ipc And 25(I)A/27 Arms Act. | Si Sahabuddin Mondal,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0010-2018-3706-1-jpg,FIR,Airport | 2018 | 279/338 Ipc | Sudip Das,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0011-2017-4014-1-jpg,FIR,Airport | 2017 | 420/406/323/379/506/34 Ipc | Prabbajika Dayamata,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0011-2018-3453-1-jpg,FIR,Airport | 2018 | 399/402 Ipc | Sahabuddin Mondal,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0012-2017-4052-1-jpg,FIR,Airport | 2017 | 135(I)(A) Electricity Act 2003 Read With Amendment | Souvik Chakraborty,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0012-2018-3495-1-jpg,FIR,Airport | 2018 | 341/325/307/506/34 Ipc | Biswajit Ghosh,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0013-2017-4063-1-jpg,FIR,Airport | 2017 | Souvik Chakraborty,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0013-2018-3843-1-jpg,FIR,Airport | 2018 | Azizul Haque Tarafdar,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0014-2017-4221-1-jpg,FIR,Airport | 341/323/506 Ipc | Biswajit Halder,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0014-2018-4861-1-jpg,FIR,Airport | 2018 | 279/337/338/427 Ipc | Tarkeswar Mahato,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0015-2017-4215-1-jpg,FIR,Airport | 2017 | Souvik Chakraborty,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0015-2018-5219-1-jpg,FIR,Airport | 2018 | 354A/506 Ipc | Koyel Das,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0016-2017-4225-1-jpg,FIR,Airport | 2017 | 135(I)(A)And (B)Electritycity Act 2003 Read With Ammendment Of 2007 | Souvik Chakraborty,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0016-2018-5562-1-jpg,FIR,Airport | 2018 | 188 Ipc And 46 (A)(C) B.E. | Sahabuddin Mondal,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0017-2017-4472-1-jpg,FIR,Airport | 2017 | Sri Souvik Chakraborty,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0017-2018-6685-1-jpg,FIR,Airport | 2018 | 420/406/34 Ipc | Debdas Roy Chowdhury,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0018-2017-1390-1-jpg,FIR,Airport | 2017 | 418/420/406/506/120B | Haran Ul Rashid,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0018-2018-9649-1-jpg,FIR,Airport | 2018 | 379 Ipc,FIR_details.json,,PENDING
FIR-Airport-PSAIRPORT-0019-2017-4398-1-jpg,FIR,Airport | 420/406/323/120B/34 Ipc | Sri Deepak Kumar Kantilal,FIR_details.json,,PENDING
