vehicle_id,actor_id,person_id,registration_number,make,vehicle_type,status,source
VEH-0001,47,P047,TN31LM7532,Honda,Motorcycle,ACTIVE,synthetic_vehicle_records
VEH-0002,76,P076,TN58GH3791,Hyundai,SUV,ACTIVE,synthetic_vehicle_records
VEH-0003,94,P094,DL98NP4525,Honda,SUV,SEIZED,synthetic_vehicle_records
VEH-0004,55,P055,MH15CD9866,Kia,Van,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0005,105,P105,DL60JK1856,Kia,Motorcycle,ACTIVE,synthetic_vehicle_records
VEH-0006,30,P030,GJ22JK9386,Kia,Van,SEIZED,synthetic_vehicle_records
VEH-0007,36,P036,DL87GH9052,Tata,Van,ACTIVE,synthetic_vehicle_records
VEH-0008,33,P033,WB93EF9534,Honda,Van,ACTIVE,synthetic_vehicle_records
VEH-0009,76,P076,KA94CD9089,Maruti,Car,SEIZED,synthetic_vehicle_records
VEH-0010,55,P055,GJ84AB3692,Honda,SUV,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0011,69,P069,TN56AB6383,Hyundai,Motorcycle,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0012,34,P034,GJ51CD7165,Mahindra,Motorcycle,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0013,13,P013,KA85JK4236,Toyota,Van,SEIZED,synthetic_vehicle_records
VEH-0014,79,P079,KA62LM9063,Toyota,Car,ACTIVE,synthetic_vehicle_records
VEH-0015,107,P107,KA37NP5671,Honda,SUV,SEIZED,synthetic_vehicle_records
VEH-0016,55,P055,GJ83CD3322,Maruti,Van,ACTIVE,synthetic_vehicle_records
VEH-0017,15,P015,WB50EF2748,Hyundai,SUV,ACTIVE,synthetic_vehicle_records
VEH-0018,36,P036,KA37CD2075,Mahindra,Motorcycle,ACTIVE,synthetic_vehicle_records
VEH-0019,85,P085,KA78GH8051,Toyota,SUV,SEIZED,synthetic_vehicle_records
VEH-0020,2,P002,DL48NP2697,Honda,Van,ACTIVE,synthetic_vehicle_records
VEH-0021,30,P030,GJ10JK4808,Maruti,Motorcycle,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0022,48,P048,MH81GH9174,Mahindra,Car,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0023,16,P016,KA18NP3155,Honda,Car,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0024,85,P085,GJ20JK9593,Tata,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0025,106,P106,KA47JK3667,Kia,Car,ACTIVE,synthetic_vehicle_records
VEH-0026,99,P099,DL54JK1353,Hyundai,SUV,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0027,7,P007,TN15JK8104,Kia,Van,SEIZED,synthetic_vehicle_records
VEH-0028,72,P072,GJ41LM5182,Kia,SUV,SEIZED,synthetic_vehicle_records
VEH-0029,2,P002,DL18LM3705,Kia,SUV,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0030,79,P079,GJ56JK6409,Hyundai,Car,ACTIVE,synthetic_vehicle_records
VEH-0031,100,P100,KA16AB2667,Toyota,Motorcycle,ACTIVE,synthetic_vehicle_records
VEH-0032,42,P042,GJ18AB2873,Tata,Motorcycle,ACTIVE,synthetic_vehicle_records
VEH-0033,12,P012,DL16NP4487,Hyundai,SUV,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0034,61,P061,MH38LM6616,Honda,Car,ACTIVE,synthetic_vehicle_records
VEH-0035,17,P017,WB97NP4074,Hyundai,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0036,71,P071,TN23NP5909,Honda,Van,SEIZED,synthetic_vehicle_records
VEH-0037,71,P071,TN98LM6581,Mahindra,SUV,ACTIVE,synthetic_vehicle_records
VEH-0038,19,P019,GJ52EF3100,Mahindra,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0039,70,P070,TN10NP9599,Honda,Car,SEIZED,synthetic_vehicle_records
VEH-0040,66,P066,GJ22EF8592,Mahindra,Van,ACTIVE,synthetic_vehicle_records
VEH-0041,87,P087,DL16JK2654,Toyota,Car,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0042,28,P028,DL86LM3761,Honda,Van,SEIZED,synthetic_vehicle_records
VEH-0043,38,P038,KA95JK8269,Maruti,SUV,SEIZED,synthetic_vehicle_records
VEH-0044,16,P016,TN92JK7780,Toyota,Van,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0045,80,P080,TN19EF4602,Mahindra,Van,SEIZED,synthetic_vehicle_records
VEH-0046,20,P020,MH60JK4812,Honda,Car,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0047,68,P068,TN83CD7420,Tata,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0048,51,P051,DL67JK4666,Toyota,Car,ACTIVE,synthetic_vehicle_records
VEH-0049,29,P029,MH34NP7205,Hyundai,Car,ACTIVE,synthetic_vehicle_records
VEH-0050,100,P100,KA91EF5558,Maruti,Car,ACTIVE,synthetic_vehicle_records
VEH-0051,64,P064,TN72NP1986,Mahindra,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0052,48,P048,WB71JK3741,Toyota,Van,ACTIVE,synthetic_vehicle_records
VEH-0053,87,P087,TN75CD2664,Mahindra,Van,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0054,34,P034,MH65CD1501,Mahindra,Van,ACTIVE,synthetic_vehicle_records
VEH-0055,6,P006,DL10CD2912,Mahindra,SUV,SEIZED,synthetic_vehicle_records
VEH-0056,30,P030,WB90AB1813,Honda,Van,SEIZED,synthetic_vehicle_records
VEH-0057,81,P081,MH67LM6704,Mahindra,Car,SEIZED,synthetic_vehicle_records
VEH-0058,73,P073,GJ11AB4247,Tata,Van,ACTIVE,synthetic_vehicle_records
VEH-0059,106,P106,TN79CD6025,Honda,Motorcycle,SEIZED,synthetic_vehicle_records
VEH-0060,10,P010,TN85NP5832,Hyundai,SUV,UNDER_VERIFICATION,synthetic_vehicle_records
VEH-0061,14,P014,GJ24CD2214,Mahindra,Van,ACTIVE,synthetic_vehicle_records
VEH-0062,12,P012,TN61NP8558,Mahindra,SUV,ACTIVE,synthetic_vehicle_records
VEH-0063,29,P029,KA81LM2577,Honda,Car,ACTIVE,synthetic_vehicle_records
VEH-0064,82,P082,KA17CD5992,Tata,Van,ACTIVE,synthetic_vehicle_records
