call_id,caller,receiver,phase,timestamp,duration_seconds,recording_id
CALL-0001,89,1,1,Phase-1,684,REC-0001
CALL-0002,83,1,1,Phase-1,144,REC-0002
CALL-0003,3,1,1,Phase-1,55,REC-0003
CALL-0004,3,1,1,Phase-1,789,REC-0004
CALL-0005,88,1,1,Phase-1,311,REC-0005
CALL-0006,85,1,1,Phase-1,280,REC-0006
CALL-0007,1,4,1,Phase-1,258,REC-0007
CALL-0008,1,89,1,Phase-1,172,REC-0008
CALL-0009,1,89,1,Phase-1,784,REC-0009
CALL-0010,1,89,1,Phase-1,134,REC-0010
CALL-0011,1,89,1,Phase-1,722,REC-0011
CALL-0012,7,89,1,Phase-1,788,REC-0012
CALL-0013,7,89,1,Phase-1,588,REC-0013
CALL-0014,1,3,1,Phase-1,119,REC-0014
CALL-0015,1,3,1,Phase-1,634,REC-0015
CALL-0016,1,3,1,Phase-1,462,REC-0016
CALL-0017,1,3,1,Phase-1,62,REC-0017
CALL-0018,88,3,1,Phase-1,60,REC-0018
CALL-0019,1,5,1,Phase-1,125,REC-0019
CALL-0020,1,5,1,Phase-1,253,REC-0020
CALL-0021,1,88,1,Phase-1,268,REC-0021
CALL-0022,1,88,1,Phase-1,547,REC-0022
CALL-0023,3,88,1,Phase-1,646,REC-0023
CALL-0024,85,88,1,Phase-1,57,REC-0024
CALL-0025,85,88,1,Phase-1,604,REC-0025
CALL-0026,6,88,1,Phase-1,233,REC-0026
CALL-0027,1,85,1,Phase-1,763,REC-0027
CALL-0028,1,85,1,Phase-1,695,REC-0028
CALL-0029,1,85,1,Phase-1,748,REC-0029
CALL-0030,1,85,1,Phase-1,588,REC-0030
CALL-0031,1,85,1,Phase-1,459,REC-0031
CALL-0032,88,85,1,Phase-1,255,REC-0032
CALL-0033,88,85,1,Phase-1,489,REC-0033
CALL-0034,88,85,1,Phase-1,633,REC-0034
CALL-0035,1,90,1,Phase-1,314,REC-0035
CALL-0036,1,2,1,Phase-1,858,REC-0036
CALL-0037,1,2,1,Phase-1,36,REC-0037
CALL-0038,89,7,1,Phase-1,807,REC-0038
CALL-0039,89,7,1,Phase-1,855,REC-0039
CALL-0040,89,7,1,Phase-1,193,REC-0040
CALL-0041,1,54,1,Phase-1,744,REC-0041
CALL-0042,1,54,1,Phase-1,462,REC-0042
CALL-0043,83,6,1,Phase-1,378,REC-0043
CALL-0044,83,6,1,Phase-1,314,REC-0044
CALL-0045,83,6,1,Phase-1,189,REC-0045
CALL-0046,83,6,1,Phase-1,250,REC-0046
CALL-0047,83,6,1,Phase-1,811,REC-0047
CALL-0048,88,6,1,Phase-1,374,REC-0048
CALL-0049,85,6,1,Phase-1,134,REC-0049
CALL-0050,85,6,1,Phase-1,124,REC-0050
CALL-0051,85,6,1,Phase-1,419,REC-0051
CALL-0052,85,6,1,Phase-1,129,REC-0052
CALL-0053,85,6,1,Phase-1,397,REC-0053
CALL-0054,1,64,1,Phase-1,897,REC-0054
CALL-0055,1,8,1,Phase-1,382,REC-0055
CALL-0056,88,1,2,Phase-2,648,REC-0056
CALL-0057,86,1,2,Phase-2,300,REC-0057
CALL-0058,2,1,2,Phase-2,856,REC-0058
CALL-0059,2,1,2,Phase-2,74,REC-0059
CALL-0060,2,1,2,Phase-2,777,REC-0060
CALL-0061,2,1,2,Phase-2,500,REC-0061
CALL-0062,2,1,2,Phase-2,579,REC-0062
