location_id,actor_id,timestamp,location,latitude,longitude
LOC-0001,1,Phase-1,Mumbai,19.076,72.8777
LOC-0002,1,Phase-2,Delhi,28.6139,77.209
LOC-0003,1,Phase-3,Chennai,13.0827,80.2707
LOC-0004,2,Phase-1,Bengaluru,12.9716,77.5946
LOC-0005,2,Phase-2,Bengaluru,12.9716,77.5946
LOC-0006,2,Phase-3,Hyderabad,17.385,78.4867
LOC-0007,3,Phase-1,Mumbai,19.076,72.8777
LOC-0008,3,Phase-2,Ahmedabad,23.0225,72.5714
LOC-0009,3,Phase-3,Mumbai,19.076,72.8777
LOC-0010,4,Phase-1,Lucknow,26.8467,80.9462
LOC-0011,4,Phase-2,Pune,18.5204,73.8567
LOC-0012,4,Phase-3,Delhi,28.6139,77.209
LOC-0013,5,Phase-1,Delhi,28.6139,77.209
LOC-0014,5,Phase-2,Mumbai,19.076,72.8777
LOC-0015,5,Phase-3,Bengaluru,12.9716,77.5946
LOC-0016,6,Phase-1,Bengaluru,12.9716,77.5946
LOC-0017,6,Phase-2,Ahmedabad,23.0225,72.5714
LOC-0018,6,Phase-3,Lucknow,26.8467,80.9462
LOC-0019,7,Phase-1,Delhi,28.6139,77.209
LOC-0020,7,Phase-2,Ahmedabad,23.0225,72.5714
LOC-0021,7,Phase-3,Bengaluru,12.9716,77.5946
LOC-0022,8,Phase-1,Ahmedabad,23.0225,72.5714
LOC-0023,8,Phase-2,Pune,18.5204,73.8567
LOC-0024,8,Phase-3,Bengaluru,12.9716,77.5946
LOC-0025,9,Phase-1,Jaipur,26.9124,75.7873
LOC-0026,9,Phase-2,Lucknow,26.8467,80.9462
LOC-0027,9,Phase-3,Chennai,13.0827,80.2707
LOC-0028,10,Phase-1,Delhi,28.6139,77.209
LOC-0029,10,Phase-2,Hyderabad,17.385,78.4867
LOC-0030,10,Phase-3,Pune,18.5204,73.8567
LOC-0031,11,Phase-1,Kolkata,22.5726,88.3639
LOC-0032,11,Phase-2,Chennai,13.0827,80.2707
LOC-0033,11,Phase-3,Hyderabad,17.385,78.4867
LOC-0034,12,Phase-1,Bengaluru,12.9716,77.5946
LOC-0035,12,Phase-2,Kolkata,22.5726,88.3639
LOC-0036,12,Phase-3,Mumbai,19.076,72.8777
LOC-0037,13,Phase-1,Mumbai,19.076,72.8777
LOC-0038,13,Phase-2,Pune,18.5204,73.8567
LOC-0039,13,Phase-3,Mumbai,19.076,72.8777
LOC-0040,14,Phase-1,Kolkata,22.5726,88.3639
LOC-0041,14,Phase-2,Kolkata,22.5726,88.3639
LOC-0042,14,Phase-3,Lucknow,26.8467,80.9462
LOC-0043,15,Phase-1,Chennai,13.0827,80.2707
LOC-0044,15,Phase-2,Delhi,28.6139,77.209
LOC-0045,15,Phase-3,Jaipur,26.9124,75.7873
LOC-0046,16,Phase-1,Ahmedabad,23.0225,72.5714
LOC-0047,16,Phase-2,Mumbai,19.076,72.8777
LOC-0048,16,Phase-3,Pune,18.5204,73.8567
LOC-0049,17,Phase-1,Mumbai,19.076,72.8777
LOC-0050,17,Phase-2,Ahmedabad,23.0225,72.5714
LOC-0051,17,Phase-3,Chennai,13.0827,80.2707
LOC-0052,18,Phase-1,Lucknow,26.8467,80.9462
LOC-0053,18,Phase-2,Kolkata,22.5726,88.3639
LOC-0054,18,Phase-3,Lucknow,26.8467,80.9462
LOC-0055,19,Phase-1,Bengaluru,12.9716,77.5946
LOC-0056,19,Phase-2,Mumbai,19.076,72.8777
LOC-0057,19,Phase-3,Delhi,28.6139,77.209
LOC-0058,20,Phase-1,Bengaluru,12.9716,77.5946
LOC-0059,20,Phase-2,Chennai,13.0827,80.2707
LOC-0060,20,Phase-3,Mumbai,19.076,72.8777
LOC-0061,21,Phase-1,Bengaluru,12.9716,77.5946
LOC-0062,21,Phase-2,Mumbai,19.076,72.8777
LOC-0063,21,Phase-3,Pune,18.5204,73.8567
LOC-0064,22,Phase-1,Chennai,13.0827,80.2707
LOC-0065,22,Phase-2,Jaipur,26.9124,75.7873
LOC-0066,22,Phase-3,Kolkata,22.5726,88.3639
LOC-0067,23,Phase-1,Hyderabad,17.385,78.4867
LOC-0068,23,Phase-2,Kolkata,22.5726,88.3639
LOC-0069,23,Phase-3,Kolkata,22.5726,88.3639
LOC-0070,24,Phase-1,Bengaluru,12.9716,77.5946
LOC-0071,24,Phase-2,Chennai,13.0827,80.2707
LOC-0072,24,Phase-3,Mumbai,19.076,72.8777
LOC-0073,25,Phase-1,Lucknow,26.8467,80.9462
LOC-0074,25,Phase-2,Hyderabad,17.385,78.4867
